record_type,case,name,decoder_stage,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,is_final_output,head_type,observed_raw_patch_shape,aligned_patch_shape,upsample_factor_to_final,prompt,threshold,gt_voxels,gt_volume_mm3,pred_voxels,pred_volume_mm3,pred_gt_volume_ratio,dice,iou,precision,recall,cc_count,cc_volume_median_voxels,cc_volume_median_mm3,small_cc_count_fraction,small_cc_voxel_fraction,small_component_max_voxels,lhs,rhs,pairwise_dice,fp_overlap,fp_overlap_dice,fn_overlap,fn_overlap_dice,intersection_voxels,union_voxels,mean_probability,d25_intersection_voxels,d25_union_voxels,majority_vote_voxels,independent_tp_voxels,independent_fp_voxels,independent_fn_recovery,r1_voxels,r1_volume_mm3,r1_tp_voxels,r1_fp_voxels,extra_precision,fn_recovery,merge_added_tp_voxels,merge_added_fp_voxels,merge_dice,merge_recall,merge_precision,delta_dice,delta_recall,delta_precision
layer,CYST_PA19,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,272203,1196204.7165981494,2649442,11643056.897805072,9.733331374011307,0.052660059658172026,0.02704204775306375,0.029035170424564872,0.2826089352431825,10,2269.5,9973.389728693292,0.1,2.415602983571635e-05,100,,,,,,,,76927,2844718,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,272203,1196204.7165981494,212583,934202.7357104234,0.7809722890636768,0.7530539248245618,0.6039185974570803,0.8586528555905223,0.6705840861415928,1,212583.0,934202.7357104234,0.0,0.0,100,,,,,,,,182535,302251,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,272203,1196204.7165981494,252883,1111302.3638515733,0.9290235596227815,0.8360116247624199,0.7182302182285821,0.8679468370748528,0.8063430601426141,1,252883.0,1111302.3638515733,0.0,0.0,100,,,,,,,,219489,305597,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,272203,1196204.7165981494,264374,1161799.9277962372,0.9712383772405153,0.8618968013910399,0.7573098840636667,0.8746586275503643,0.8495020260614321,1,264374.0,1161799.9277962372,0.0,0.0,100,,,,,,,,231237,305340,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,272203,1196204.7165981494,268505,1179953.738313634,0.9864145509050231,0.8877175850921385,0.7981044860496824,0.8938306549226271,0.881687564060646,2,134252.5,589976.869156817,0.5,7.448650863112419e-06,100,,,,,,,,239998,300710,,,,,,,,,,,,,,,,,,,,,
decoder1_extra,CYST_PA19,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,272203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584095,11355887.433781754,23725,2560370,0.009181164005193308,0.5714951094550536,18405,2559086,0.16573862027407488,0.9493025425877011,0.09079527870032143,-0.7219789648180637,0.06761497852705511,-0.8030353762223057
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.8650599614150121,0.49977541902082695,0.6664670092367833,0.5473613284646148,0.707477068730598,21141,42301,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.8507181989152062,0.5078872634417584,0.6736408957822267,0.44176498504530554,0.6128113661068328,21282,41903,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.8219909870959159,0.37217912966044103,0.542464349756639,0.3487494466578132,0.517144896736767,15882,42673,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9467788739446735,0.6917385002669921,0.8177841908283356,0.7175439561446931,0.8355465414175918,27204,39327,,,,,,,,,,,,,,,,,,,,,
