case,prompt,decoder_stage,is_final_output,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,raw_shape,aligned_shape,interpolation,probability_shape,probability_map_semantics,valid_mask_source,gt_interpolation,region,threshold,voxel_count,mean,std,min,p05,p25,median,p75,p95,max
CYST_PA19,liver,D1,False,4,0,4,1,"[12, 12, 12]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_foreground,0.5,272203,0.4326027035713196,0.12662002444267273,0.13143567740917206,0.25401726365089417,0.3340681791305542,0.42004215717315674,0.5143752098083496,0.6747000813484192,0.7912645936012268
CYST_PA19,liver,D1,False,4,0,4,1,"[12, 12, 12]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_background_valid,0.5,5712941,0.49962759017944336,0.10915612429380417,0.12249241769313812,0.34487485885620117,0.42369958758354187,0.48812785744667053,0.5588030815124512,0.7138103246688843,0.8704429864883423
CYST_PA19,liver,D1,False,4,0,4,1,"[12, 12, 12]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_background_all,0.5,5712941,0.49962759017944336,0.10915612429380417,0.12249241769313812,0.34487485885620117,0.42369958758354187,0.48812785744667053,0.5588030815124512,0.7138103246688843,0.8704429864883423
CYST_PA19,liver,D1,False,4,0,4,1,"[12, 12, 12]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,d5_false_negative,0.5,32208,0.5285857319831848,0.15306083858013153,0.13143567740917206,0.27690407633781433,0.4029140770435333,0.5379301309585571,0.6622019410133362,0.7422240376472473,0.7842720150947571
CYST_PA19,liver,D2,False,3,1,3,2,"[24, 24, 24]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_foreground,0.5,272203,0.6678001880645752,0.43934571743011475,6.81033295739404e-39,2.987061292758497e-11,0.047677524387836456,0.9936808347702026,0.9999876022338867,1.0,1.0
CYST_PA19,liver,D2,False,3,1,3,2,"[24, 24, 24]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_background_valid,0.5,5712941,0.005405795760452747,0.06682607531547546,0.0,1.018899135330112e-37,3.3776247540955897e-26,1.2681198363260174e-19,1.5239181173475752e-13,8.699195319650244e-08,1.0
CYST_PA19,liver,D2,False,3,1,3,2,"[24, 24, 24]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_background_all,0.5,5712941,0.005405795760452747,0.06682607531547546,0.0,1.018899135330112e-37,3.3776247540955897e-26,1.2681198363260174e-19,1.5239181173475752e-13,8.699195319650244e-08,1.0
CYST_PA19,liver,D2,False,3,1,3,2,"[24, 24, 24]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,d5_false_negative,0.5,32208,0.02313203550875187,0.1301955282688141,6.81033295739404e-39,3.4892479655164304e-28,1.7575031511671166e-19,4.3434734919856055e-08,0.00011439531954238191,0.02376483753323555,0.9999991655349731
CYST_PA19,liver,D3,False,2,2,2,3,"[48, 48, 48]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_foreground,0.5,272203,0.8006717562675476,0.36683788895606995,0.0,1.8573326769910636e-06,0.8838796615600586,0.9995260238647461,0.999991774559021,0.9999998807907104,1.0
CYST_PA19,liver,D3,False,2,2,2,3,"[48, 48, 48]","[27, 458, 484]",none_same_size,"[27, 458, 484]",patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,nearest,gt_background_valid,0.5,5712941,0.006047331262379885,0.07031851261854172,0.0,2.322086693471213e-34,5.158908184023725e-21,2.3283583394650975e-11,4.047199908541188e-08,5.917949238209985e-06,1.0
