case,case_count,prompt,decoder_stage,is_final_output,raw_shape,aligned_shape,probability_shape,probability_map_semantics,valid_mask_source,interpolation,gt_interpolation,region,threshold,voxel_count,mean,std,min,p05,p25,median,p75,p95,max
__case_mean__,38,liver,D1,False,"[12, 12, 12]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,d5_false_negative,0.5,123862.84210526316,0.43997913285305623,0.10962479326285814,0.16619454343852244,0.26638078297439377,0.36069895287877635,0.4362475048554571,0.5169733676471209,0.6259235378942991,0.7755093888232583
__case_mean__,38,liver,D1,False,"[12, 12, 12]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_background_valid,0.5,7546285.2105263155,0.4989025294780731,0.10434196242376377,0.12953071296215057,0.33948394028764023,0.4294356946882449,0.4926952617733102,0.5611167659885005,0.6860054621570989,0.8946989225713831
__case_mean__,38,liver,D1,False,"[12, 12, 12]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_foreground,0.5,556604.7105263158,0.44254171769869954,0.11384136974811554,0.1461571943210928,0.2641084856892887,0.3593723589652463,0.43754479367482035,0.5208376073523572,0.6396580260050925,0.8000197441954362
__case_mean__,38,liver,D2,False,"[24, 24, 24]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,d5_false_negative,0.5,123862.84210526316,0.09528955770656466,0.22298652717941686,3.662946486848184e-08,8.532997012380118e-06,0.0002171712615537298,0.0032995152949043976,0.06262882104525974,0.6212986510148958,0.9996615993349176
__case_mean__,38,liver,D2,False,"[24, 24, 24]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_background_valid,0.5,7546285.2105263155,0.007863011220347528,0.07597575121020016,4.999774943530229e-26,2.5545044549253994e-20,9.003332275066169e-17,4.650927548223108e-13,7.597629464502286e-10,0.0001081585296341999,0.999993151740024
__case_mean__,38,liver,D2,False,"[24, 24, 24]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_foreground,0.5,556604.7105263158,0.6629231885859841,0.3935269815357108,3.662946486848184e-08,0.017203839974912705,0.36473863296431425,0.8252595858196556,0.9531864119987739,0.9999858407597793,0.9999999937258268
__case_mean__,38,liver,D3,False,"[48, 48, 48]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,d5_false_negative,0.5,123862.84210526316,0.11753728250531774,0.22855804978232636,7.85939882411386e-07,0.0001336458226008432,0.0022269669049651613,0.01532579741281427,0.10662742089250873,0.685875220910499,0.9980663453277788
__case_mean__,38,liver,D3,False,"[48, 48, 48]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_background_valid,0.5,7546285.2105263155,0.011028983372900831,0.09032682505877394,8.489418089352391e-18,2.2004838681651517e-12,1.4693410285718944e-10,1.0838162288514082e-08,5.820225037273209e-07,0.0008303541854859843,0.9999972832830328
__case_mean__,38,liver,D3,False,"[48, 48, 48]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_foreground,0.5,556604.7105263158,0.7661932683304736,0.33469420710676595,7.85939882411386e-07,0.06969387680808757,0.6780569955757182,0.8845475631727325,0.987428040880906,0.9999796152114868,0.9999999247099224
__case_mean__,38,liver,D4,False,"[96, 96, 96]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,d5_false_negative,0.5,123862.84210526316,0.1397477046733624,0.23093159732065702,4.781704547862426e-06,0.0003459014615416788,0.004578361839920503,0.028351441505148133,0.1643728063377478,0.6989688030199,0.9932462431882557
__case_mean__,38,liver,D4,False,"[96, 96, 96]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_background_valid,0.5,7546285.2105263155,0.011830480174945765,0.09281724446306103,5.4949226279643336e-14,1.1137687041033726e-10,4.7673278465310585e-09,1.5203144774734138e-07,3.0952231109583104e-06,0.002192471493009706,0.9999912224317852
__case_mean__,38,liver,D4,False,"[96, 96, 96]",mixed,mixed,patch_upsampled_then_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_foreground,0.5,556604.7105263158,0.8078843464976863,0.30265384912490845,4.781704547862426e-06,0.12327423273090267,0.7791307762994943,0.8948542936399534,0.9897181015265616,0.999855847735154,0.9999993568972537
__case_mean__,38,liver,D5,True,"[192, 192, 192]",mixed,mixed,final_output_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,d5_false_negative,0.5,123862.84210526316,0.12204458456682532,0.13997407218343333,1.76454689914917e-05,0.0012970934576438582,0.013709098494196676,0.06215761218104169,0.19674696685060075,0.4224323598962081,0.49996171813262136
__case_mean__,38,liver,D5,True,"[192, 192, 192]",mixed,mixed,final_output_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_background_valid,0.5,7546285.2105263155,0.011189907384840282,0.08992317485574045,1.3265141131789736e-13,4.668372311720114e-10,1.7372663066253615e-08,4.0699656474669597e-07,6.2093297163387825e-06,0.0020907790134946196,0.9999198176358876
__case_mean__,38,liver,D5,True,"[192, 192, 192]",mixed,mixed,final_output_sliding_window_fused_full_volume,predictor_crop_to_nonzero_bbox,none_same_size,nearest,gt_foreground,0.5,556604.7105263158,0.8429409547855979,0.26404849714354467,1.76454689914917e-05,0.29963739862471117,0.8210123518879713,0.9021263125901465,0.992746701366023,0.9996095880081779,0.999989412332836
