concept_index,concept,target_class,dice_spleen,dice_right_kidney,dice_left_kidney,dice_gallbladder,dice_liver,dice_stomach,dice_aorta,dice_inferior_vena_cava,dice_duodenum,dice_pancreas,dice_esophagus
0,spleen,spleen,0.9215571160547963,7.458819380083925e-13,0.002231473219593448,1.1862129688733034e-12,0.0001934597648648575,0.0004100303789245174,1.0183913905013843e-12,1.179071688625234e-12,1.0926573479313834e-12,1.745726978579687e-05,1.333752591890297e-12
1,splenic parenchyma,spleen,0.9247815174036415,7.428108198279399e-13,0.0026154706087042684,1.1788193119886239e-12,9.49493307322493e-05,0.0003537888958728178,1.0129948045766553e-12,1.1716375762098807e-12,1.0862656600037697e-12,2.2192753967254885e-05,1.3244298413315896e-12
2,homogeneous left upper quadrant solid organ,spleen,1.2445411488895073e-12,0.02631578947553658,2.6506217165675406e-10,0.026315789484707575,2.0551886006341083e-13,1.1586358122338266e-12,4.467101791640988e-12,1.0771683701707397e-11,6.17807300402974e-12,3.2703414933088323e-12,3.669600733041967e-11
3,crescentic organ with smooth lateral convexity,spleen,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
4,left hypochondrial region,spleen,1.2444426070481443e-12,0.026315789475535045,2.650594219279091e-10,0.026315789484553886,8.653964229544978e-05,0.0010057782136664974,4.461214739361217e-12,1.0754748146789327e-11,6.164415669398402e-12,3.2678023589001096e-12,3.661104071843335e-11
5,left subphrenic compartment,spleen,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
6,posterolateral to the gastric fundus,spleen,3.0381754465972206e-05,1.1371576530729857e-12,1.0949171475792631e-12,9.266286398193709e-05,0.0004365620465502389,0.5604232342142869,1.6332797966987438e-12,2.120158870087941e-12,0.00019558987251299878,0.009699883980666216,2.282458231540139e-05
7,spleen lies beneath the left hemidiaphragm along the left lateral abdominal wall,spleen,0.8852471097665976,7.796153484176883e-13,0.0016163460135097446,1.257366009927175e-12,9.575194650566833e-05,0.00023944190587348418,1.0709509019002377e-12,1.247439624632156e-12,1.1501674521222065e-12,1.0051605583553268e-05,1.4161973060718856e-12
8,right kidney,right_kidney,7.008543934351371e-13,0.9201556682460674,1.0630923269429505e-12,7.307279075176165e-06,0.0004042610712738334,7.096196384167194e-13,1.375250209585578e-12,1.7141005116837535e-12,5.366724133498667e-05,1.2484355889807496e-12,1.999194923880991e-12
9,right renal parenchyma,right_kidney,7.039971824930553e-13,0.9184823233800001,1.0774754264961938e-12,7.409117306529103e-06,0.00048781688385291037,7.124856172465621e-13,1.3859769000636636e-12,1.7335529160078035e-12,1.7918951247118598e-05,1.2574694952936493e-12,2.040501865227464e-12
