sequence,case,spleen_tn_count,spleen_tn_fg_prob_mean,spleen_tn_fg_prob_max,spleen_tn_fg_prob_p95,spleen_fn_count,spleen_fn_fg_prob_min,spleen_fn_fg_prob_mean,spleen_fn_fg_prob_max,spleen_fn_fg_prob_p90,spleen_fn_fg_prob_p95,right_kidney_tn_count,right_kidney_tn_fg_prob_mean,right_kidney_tn_fg_prob_max,right_kidney_tn_fg_prob_p95,right_kidney_fn_count,right_kidney_fn_fg_prob_min,right_kidney_fn_fg_prob_mean,right_kidney_fn_fg_prob_max,right_kidney_fn_fg_prob_p90,right_kidney_fn_fg_prob_p95,left_kidney_tn_count,left_kidney_tn_fg_prob_mean,left_kidney_tn_fg_prob_max,left_kidney_tn_fg_prob_p95,left_kidney_fn_count,left_kidney_fn_fg_prob_min,left_kidney_fn_fg_prob_mean,left_kidney_fn_fg_prob_max,left_kidney_fn_fg_prob_p90,left_kidney_fn_fg_prob_p95,gallbladder_tn_count,gallbladder_tn_fg_prob_mean,gallbladder_tn_fg_prob_max,gallbladder_tn_fg_prob_p95,gallbladder_fn_count,gallbladder_fn_fg_prob_min,gallbladder_fn_fg_prob_mean,gallbladder_fn_fg_prob_max,gallbladder_fn_fg_prob_p90,gallbladder_fn_fg_prob_p95,liver_tn_count,liver_tn_fg_prob_mean,liver_tn_fg_prob_max,liver_tn_fg_prob_p95,liver_fn_count,liver_fn_fg_prob_min,liver_fn_fg_prob_mean,liver_fn_fg_prob_max,liver_fn_fg_prob_p90,liver_fn_fg_prob_p95,stomach_tn_count,stomach_tn_fg_prob_mean,stomach_tn_fg_prob_max,stomach_tn_fg_prob_p95,stomach_fn_count,stomach_fn_fg_prob_min,stomach_fn_fg_prob_mean,stomach_fn_fg_prob_max,stomach_fn_fg_prob_p90,stomach_fn_fg_prob_p95,aorta_tn_count,aorta_tn_fg_prob_mean,aorta_tn_fg_prob_max,aorta_tn_fg_prob_p95,aorta_fn_count,aorta_fn_fg_prob_min,aorta_fn_fg_prob_mean,aorta_fn_fg_prob_max,aorta_fn_fg_prob_p90,aorta_fn_fg_prob_p95,inferior_vena_cava_tn_count,inferior_vena_cava_tn_fg_prob_mean,inferior_vena_cava_tn_fg_prob_max,inferior_vena_cava_tn_fg_prob_p95,inferior_vena_cava_fn_count,inferior_vena_cava_fn_fg_prob_min,inferior_vena_cava_fn_fg_prob_mean,inferior_vena_cava_fn_fg_prob_max,inferior_vena_cava_fn_fg_prob_p90,inferior_vena_cava_fn_fg_prob_p95,duodenum_tn_count,duodenum_tn_fg_prob_mean,duodenum_tn_fg_prob_max,duodenum_tn_fg_prob_p95,duodenum_fn_count,duodenum_fn_fg_prob_min,duodenum_fn_fg_prob_mean,duodenum_fn_fg_prob_max,duodenum_fn_fg_prob_p90,duodenum_fn_fg_prob_p95,pancreas_tn_count,pancreas_tn_fg_prob_mean,pancreas_tn_fg_prob_max,pancreas_tn_fg_prob_p95,pancreas_fn_count,pancreas_fn_fg_prob_min,pancreas_fn_fg_prob_mean,pancreas_fn_fg_prob_max,pancreas_fn_fg_prob_p90,pancreas_fn_fg_prob_p95,esophagus_tn_count,esophagus_tn_fg_prob_mean,esophagus_tn_fg_prob_max,esophagus_tn_fg_prob_p95,esophagus_fn_count,esophagus_fn_fg_prob_min,esophagus_fn_fg_prob_mean,esophagus_fn_fg_prob_max,esophagus_fn_fg_prob_p90,esophagus_fn_fg_prob_p95
P1,CYST_PA19.nii.gz,5994925,0.00017541516910952177,0.49976980686187744,1.5172560097198584e-08,0,nan,nan,nan,nan,nan,5996582,6.639478014651198e-05,0.4998031556606293,4.5475591292643e-08,0,nan,nan,nan,nan,nan,5989028,9.793828684107328e-05,0.49971336126327515,2.901492557327856e-08,0,nan,nan,nan,nan,nan,6014927,1.3528442764159676e-05,0.49736732244491577,1.074566138734721e-18,0,nan,nan,nan,nan,nan,5724765,0.0004844157453857511,0.4999864101409912,1.8138565792469308e-05,30549,1.0457628622282245e-22,0.0630037837841782,0.4999573230743408,0.26766669750213623,0.38228699564933777,5957598,0.0005927448071466111,0.49998635053634644,1.5180762602540199e-06,0,nan,nan,nan,nan,nan,6008267,4.670594992914155e-05,0.4990040957927704,7.339696905805937e-11,0,nan,nan,nan,nan,nan,6016173,7.890980926467163e-05,0.4991879463195801,8.928322664525368e-11,0,nan,nan,nan,nan,nan,6014863,8.621368112728119e-05,0.49996381998062134,3.5829705868906103e-10,0,nan,nan,nan,nan,nan,5999198,0.00024916562904831103,0.499758243560791,1.6393460811059413e-08,0,nan,nan,nan,nan,nan,6019285,1.8296973280967643e-05,0.49741244316101074,3.061246885420741e-17,0,nan,nan,nan,nan,nan
P1,CYST_PA20.nii.gz,3126031,0.0005616595826878573,0.4999706745147705,4.116250238439534e-07,0,nan,nan,nan,nan,nan,3160087,0.0001626744306113541,0.4999310374259949,9.390819855070731e-08,0,nan,nan,nan,nan,nan,3150863,0.0002596729375522713,0.4999285340309143,6.78673529819207e-07,0,nan,nan,nan,nan,nan,3162386,4.2131296227344067e-05,0.49734142422676086,1.8851959012063284e-18,0,nan,nan,nan,nan,nan,2903376,0.0014813033849906318,0.49998903274536133,0.00021116770221851766,26984,4.0921210360063393e-26,0.08562221796443664,0.49999332427978516,0.32418882846832275,0.4119327664375305,3110306,0.0012178486805873266,0.49990740418434143,1.2775026334566064e-05,0,nan,nan,nan,nan,nan,3161957,9.23625328893992e-05,0.49955883622169495,1.3914855934160641e-08,0,nan,nan,nan,nan,nan,3167953,8.714905940122614e-05,0.4994504451751709,7.255054890187296e-10,0,nan,nan,nan,nan,nan,3167337,0.0001457141962924463,0.4998715817928314,2.7470767882675773e-09,0,nan,nan,nan,nan,nan,3152531,0.000369235430606948,0.4997996985912323,5.993098284307052e-07,0,nan,nan,nan,nan,nan,3171851,1.2928294762893663e-05,0.49872973561286926,5.063125677927187e-16,0,nan,nan,nan,nan,nan
P1,CYST_PA37.nii.gz,5580116,0.0004119563519439094,0.4997303783893585,1.925547394421301e-06,0,nan,nan,nan,nan,nan,5578806,0.00018805411366031315,0.49932974576950073,5.746944680140587e-07,0,nan,nan,nan,nan,nan,5576970,0.0003486623066803626,0.4999396800994873,3.9288511288759764e-06,0,nan,nan,nan,nan,nan,5614229,1.6236697334582004e-06,0.4779951274394989,2.359089725545877e-16,0,nan,nan,nan,nan,nan,5334874,0.0009316838882009389,0.4999886751174927,4.1335399146191776e-05,22881,6.540079766637064e-07,0.11697147603149315,0.4999891519546509,0.3702552318572998,0.43397921323776245,5546321,0.0007862923826106432,0.4999922513961792,1.9136498394800583e-06,0,nan,nan,nan,nan,nan,5597451,9.097306924923656e-05,0.49915337562561035,3.275282551840064e-07,0,nan,nan,nan,nan,nan,5610362,5.4053292454912506e-05,0.49886253476142883,1.435509378033828e-09,0,nan,nan,nan,nan,nan,5603124,0.000191820943574294,0.4998273253440857,9.70277582723611e-08,0,nan,nan,nan,nan,nan,5594071,0.0003477952750198489,0.4998316168785095,7.510768682550406e-07,0,nan,nan,nan,nan,nan,5609900,3.688015035886125e-05,0.49989309906959534,2.0232780873020913e-16,0,nan,nan,nan,nan,nan
P1,CYST_PA38.nii.gz,4141157,0.00013337676666974577,0.4993095397949219,1.5873657943643593e-08,0,nan,nan,nan,nan,nan,4163206,6.036825285469619e-05,0.4994780421257019,1.993907261521599e-09,0,nan,nan,nan,nan,nan,4162019,6.947128288732062e-05,0.49929705262184143,2.6246521400707934e-08,0,nan,nan,nan,nan,nan,4184328,1.0126830267173676e-05,0.499920129776001,3.6962873279722335e-19,0,nan,nan,nan,nan,nan,3949662,0.00036053132198824047,0.49999988079071045,4.0036225982476026e-05,12696,1.3141337149136234e-05,0.12140314135149095,0.4999692440032959,0.36318498849868774,0.43290528655052185,4154917,0.0002856068700645632,0.4997692108154297,2.159948508051457e-06,0,nan,nan,nan,nan,nan,4176150,4.7664606913384407e-05,0.49949052929878235,5.446866291336505e-10,0,nan,nan,nan,nan,nan,4182588,4.9479788910350395e-05,0.49861589074134827,3.784491886538177e-10,0,nan,nan,nan,nan,nan,4185368,4.9644489558594436e-05,0.4989461600780487,1.0113301307512756e-08,0,nan,nan,nan,nan,nan,4179339,0.0001020510796483911,0.4995734691619873,1.9905439785361523e-07,0,nan,nan,nan,nan,nan,4188957,4.963324856699344e-06,0.49680423736572266,1.6574022427932877e-14,0,nan,nan,nan,nan,nan
P1,CYST_PA53.nii.gz,3690851,0.00012294130533822983,0.4996788203716278,2.029198364894569e-09,0,nan,nan,nan,nan,nan,3685736,0.00010557133062112178,0.499881774187088,1.490200673970321e-08,0,nan,nan,nan,nan,nan,3685111,9.804481371911317e-05,0.4999701976776123,3.7694558585599225e-08,0,nan,nan,nan,nan,nan,3711224,9.919571641949823e-06,0.49659818410873413,1.6472656956609696e-19,0,nan,nan,nan,nan,nan,3324451,0.001074042805928095,0.49976015090942383,0.0002305067318957299,15619,4.6644510121041094e-07,0.13810457631380546,0.4999115765094757,0.3865434527397156,0.444502055644989,3639702,0.0005124083352810772,0.49995851516723633,9.818327271204907e-06,0,nan,nan,nan,nan,nan,3699566,5.565717498688538e-05,0.49920395016670227,3.090852018772239e-09,0,nan,nan,nan,nan,nan,3709645,5.1190052663205925e-05,0.4995769262313843,6.738771207714933e-10,0,nan,nan,nan,nan,nan,3708868,9.354959756583844e-05,0.499336838722229,2.029198364894569e-09,0,nan,nan,nan,nan,nan,3709914,7.111573947790176e-05,0.49868395924568176,5.645572898060891e-08,0,nan,nan,nan,nan,nan,3715591,1.1296191321212535e-05,0.49943557381629944,3.885825987154021e-14,0,nan,nan,nan,nan,nan
P1,CYST_PA54.nii.gz,3719705,0.0002180350007299114,0.4988727867603302,2.500463169852196e-10,0,nan,nan,nan,nan,nan,3749938,0.0001256366314275515,0.49993062019348145,6.1527791750393135e-09,0,nan,nan,nan,nan,nan,3749342,0.00010882946998576131,0.49962952733039856,7.614509911491041e-08,0,nan,nan,nan,nan,nan,3763046,1.7454847534324165e-05,0.49566277861595154,7.704364264286734e-21,0,nan,nan,nan,nan,nan,3544548,0.00048720970773932754,0.49956586956977844,6.352188938762993e-05,13378,1.6024135902625858e-06,0.11811583897322432,0.4998876750469208,0.3646771311759949,0.43152591586112976,3735957,0.00034263801932620365,0.499862402677536,2.156816663045902e-06,0,nan,nan,nan,nan,nan,3758417,6.650124969710253e-05,0.4984612762928009,2.396411069582882e-09,0,nan,nan,nan,nan,nan,3767228,4.659195355207906e-05,0.499413400888443,5.547519665860534e-10,0,nan,nan,nan,nan,nan,3768527,9.561679152761057e-05,0.49991708993911743,5.6586241470313325e-08,0,nan,nan,nan,nan,nan,3762285,0.00018396442061779523,0.49989065527915955,3.0590220490012143e-07,0,nan,nan,nan,nan,nan,3774850,7.385364091864235e-06,0.49286559224128723,2.7661082314099118e-14,0,nan,nan,nan,nan,nan
P1,CYST_PA56.nii.gz,5369793,0.0004139420092940385,0.49996912479400635,1.3630183559598663e-07,0,nan,nan,nan,nan,nan,5429362,0.00016078347921593688,0.4996577501296997,2.438865180920402e-07,0,nan,nan,nan,nan,nan,5439882,0.00019615518365068474,0.49998319149017334,8.512471367794205e-07,0,nan,nan,nan,nan,nan,5454334,9.258143454960195e-06,0.49751827120780945,2.1579632576890583e-18,0,nan,nan,nan,nan,nan,5155350,0.0010505274193840853,0.4999338388442993,2.6977413654094562e-05,12344,5.2682813667104256e-09,0.11285541876640494,0.49985626339912415,0.37106263637542725,0.44024360179901123,5377851,0.0008490233808406758,0.4999764561653137,2.400595803919714e-06,0,nan,nan,nan,nan,nan,5440750,8.874999875437997e-05,0.4997783601284027,1.9115290683657804e-08,0,nan,nan,nan,nan,nan,5454761,8.562243781111827e-05,0.49980148673057556,1.223677964512504e-10,0,nan,nan,nan,nan,nan,5454022,7.356317869972956e-05,0.4994836449623108,1.4808476710495566e-12,0,nan,nan,nan,nan,nan,5437276,0.00017177124587848338,0.49989691376686096,3.756801802978771e-08,0,nan,nan,nan,nan,nan,5458177,2.515139381130532e-05,0.4998553693294525,2.638656920254099e-16,0,nan,nan,nan,nan,nan
P1,CYST_PA62.nii.gz,11927017,0.0005421065435367956,0.49998152256011963,6.294241217119634e-08,0,nan,nan,nan,nan,nan,12021556,1.1521261980699387e-05,0.49981236457824707,2.5804725023448327e-10,0,nan,nan,nan,nan,nan,12009507,9.071188539964482e-05,0.499930739402771,2.4417796673503744e-09,0,nan,nan,nan,nan,nan,12025596,1.769463624263876e-16,5.243712582203575e-12,4.994078728440569e-16,0,nan,nan,nan,nan,nan,10648125,0.0018258077560884328,0.49997591972351074,0.0003589536645449698,983182,6.9028777475627435e-22,0.019534453633171824,0.4999964237213135,0.022161295637488365,0.14748132228851318,12025573,2.1131311035792653e-05,0.495125949382782,2.989384888108372e-15,0,nan,nan,nan,nan,nan,12014176,9.936789777998553e-05,0.49989280104637146,1.367565525341348e-14,0,nan,nan,nan,nan,nan,12025596,3.4588731774825125e-16,3.510009123630642e-12,1.0883890563437824e-15,0,nan,nan,nan,nan,nan,12025596,1.3510506037200794e-16,2.4982151763941474e-12,4.491596549514453e-16,0,nan,nan,nan,nan,nan,12025354,4.134248026697054e-06,0.4978402853012085,8.089431461656953e-15,0,nan,nan,nan,nan,nan,12025596,2.138894888286944e-16,5.085201790905325e-12,6.178967707366192e-16,0,nan,nan,nan,nan,nan
P1,CYST_PA69.nii.gz,14903450,0.002167545066896638,0.4999997615814209,0.00018217165779788047,0,nan,nan,nan,nan,nan,15061687,0.00036517790283778777,0.4999946355819702,4.942035047861282e-07,0,nan,nan,nan,nan,nan,15088695,0.00020347828698956443,0.4999657869338989,9.492594443827329e-08,0,nan,nan,nan,nan,nan,15114358,2.3934388698658383e-16,4.745872965450371e-12,5.401452342279828e-16,0,nan,nan,nan,nan,nan,13725985,0.0031775461418485948,0.4999915361404419,0.0020714295096695423,299082,4.061115678350749e-17,0.1030053807786787,0.4999955892562866,0.34644603729248047,0.4226769208908081,15032635,0.0010422343596459872,0.49997633695602417,3.919997107004747e-05,0,nan,nan,nan,nan,nan,15114358,6.570776286759571e-09,0.007360312156379223,9.541598298956882e-15,0,nan,nan,nan,nan,nan,15114358,4.669666662786597e-16,5.6747412324753554e-11,1.1433267662697491e-15,0,nan,nan,nan,nan,nan,15114358,2.4070169220979783e-16,3.3676074082111818e-12,6.353114504948124e-16,0,nan,nan,nan,nan,nan,15067525,0.0005085196044420697,0.49999475479125977,1.9780381421696802e-07,0,nan,nan,nan,nan,nan,15114358,2.9817073446329147e-16,3.742369261705569e-12,7.440644458125154e-16,0,nan,nan,nan,nan,nan
P1,CYST_PA74.nii.gz,5274054,0.00017202180238792044,0.4995037615299225,3.4901850853863436e-10,0,nan,nan,nan,nan,nan,5313976,0.00015390604496725246,0.49957889318466187,4.248002838380671e-09,0,nan,nan,nan,nan,nan,5301728,0.00018652329926079064,0.499554306268692,1.33219216991165e-07,0,nan,nan,nan,nan,nan,5338728,4.265550209767508e-06,0.49294281005859375,4.644701030365893e-18,0,nan,nan,nan,nan,nan,5041696,0.000577950453495091,0.49993467330932617,1.1199203072465025e-05,15966,2.1241586267706225e-08,0.1226853105318981,0.4999857544898987,0.38935622572898865,0.4453314542770386,5286808,0.0004284658234769053,0.49979957938194275,1.1255348653094188e-07,0,nan,nan,nan,nan,nan,5327646,3.3658237910242805e-05,0.4995853304862976,2.0064278016818093e-10,0,nan,nan,nan,nan,nan,5332083,5.6994241216337645e-05,0.4994983971118927,6.534957037312994e-12,0,nan,nan,nan,nan,nan,5336793,2.3084616082521185e-05,0.4991379976272583,8.753774614900234e-13,0,nan,nan,nan,nan,nan,5321850,0.0001674568377072931,0.4999186396598816,1.3694551048715198e-09,0,nan,nan,nan,nan,nan,5337873,9.55999756757788e-06,0.4989224076271057,9.288480581529402e-18,0,nan,nan,nan,nan,nan
