case,decoder_layer,prompt,dice,miou
CYST_PA19,1,liver,0.8877175850921593,0.7981044860497496
CYST_PA19,2,liver,0.8618968013910656,0.7573098840637462
CYST_PA19,3,liver,0.836011624762451,0.7182302182286743
CYST_PA19,4,liver,0.7530539248246128,0.6039185974572114
CYST_PA19,5,liver,0.052659393136225606,0.027041696224405123
CYST_PA20,1,liver,0.8529874938469701,0.7436601512810517
CYST_PA20,2,liver,0.8394847836736964,0.7233724916862379
CYST_PA20,3,liver,0.8119838725844548,0.6834788298294735
CYST_PA20,4,liver,0.7568999138766345,0.6088809117833227
CYST_PA20,5,liver,0.08826767788189928,0.04617156746303826
CYST_PA37,1,liver,0.8919900854850868,0.8050379999312889
CYST_PA37,2,liver,0.8504379026968921,0.739792921750016
CYST_PA37,3,liver,0.8199426338019645,0.6948328592225601
CYST_PA37,4,liver,0.7382373090879794,0.5850841163756872
CYST_PA37,5,liver,0.07612776629477634,0.039570073813160626
CYST_PA38,1,liver,0.9581200037861602,0.9196068714899572
CYST_PA38,2,liver,0.9365278642137882,0.8806322541976622
CYST_PA38,3,liver,0.9219077195139215,0.855128764207729
CYST_PA38,4,liver,0.8836873660996559,0.7916127966877348
CYST_PA38,5,liver,0.012849981222186406,0.0064665380574242355
CYST_PA53,1,liver,0.9574452052257685,0.9183643967923207
CYST_PA53,2,liver,0.9379045400440443,0.8830699079374217
CYST_PA53,3,liver,0.928481132305992,0.8665093637633959
CYST_PA53,4,liver,0.9067642120093284,0.8294315114545888
CYST_PA53,5,liver,0.03146839442012514,0.015985719676013855
CYST_PA54,1,liver,0.9515542608824493,0.9075856054156581
CYST_PA54,2,liver,0.929441067961392,0.8681830024915451
CYST_PA54,3,liver,0.9215935187266834,0.8545882602991721
CYST_PA54,4,liver,0.8671216622755696,0.765414637565918
CYST_PA54,5,liver,0.0040968700429519405,0.002052639720589947
CYST_PA56,1,liver,0.8735325417367666,0.7754618522967371
CYST_PA56,2,liver,0.8477776222487261,0.7357760434260355
CYST_PA56,3,liver,0.8295881455047588,0.7088001905641862
CYST_PA56,4,liver,0.7821651208168406,0.6422587611725599
CYST_PA56,5,liver,0.07258214639127628,0.03765771197740867
CYST_PA62,1,liver,0.42965174542274515,0.27360284202592383
CYST_PA62,2,liver,0.40689783635158355,0.25541226773540726
CYST_PA62,3,liver,0.37634134548934206,0.23178600036644373
CYST_PA62,4,liver,0.30179059095495414,0.1777110580989611
CYST_PA62,5,liver,0.11393314478724108,0.060407797566860245
CYST_PA69,1,liver,0.8369941811305418,0.7196818515871091
CYST_PA69,2,liver,0.8219098081092305,0.6976628901307835
CYST_PA69,3,liver,0.7824814269801272,0.6426854130358891
CYST_PA69,4,liver,0.7684587415178781,0.623981321149584
CYST_PA69,5,liver,0.11196948228326731,0.05930491124618648
CYST_PA74,1,liver,0.9353647076614109,0.878577588393487
CYST_PA74,2,liver,0.9097250509165133,0.8343996637557177
CYST_PA74,3,liver,0.8964566081871539,0.8123437780860929
CYST_PA74,4,liver,0.8250539423696333,0.7022058051189727
CYST_PA74,5,liver,0.07430627735657701,0.03858675784361444
FNH_PA10,1,liver,0.9447827522928635,0.8953443040717644
FNH_PA10,2,liver,0.9328621942719338,0.8741721915057493
FNH_PA10,3,liver,0.9275502660018585,0.8648892685570592
FNH_PA10,4,liver,0.9208348287055362,0.8532844213281995
FNH_PA10,5,liver,0.061240472487218145,0.03158745146995824
FNH_PA32,1,liver,0.9418964735972135,0.8901742127250817
FNH_PA32,2,liver,0.9243469260725652,0.85933555016731
FNH_PA32,3,liver,0.9171961148459229,0.8470565422061066
FNH_PA32,4,liver,0.8658816139478935,0.7634843280886167
FNH_PA32,5,liver,0.04523718889244856,0.023142034744800102
HCC_10020116_20180118,1,liver,0.8074080416529625,0.6770195254142996
HCC_10020116_20180118,2,liver,0.7939526844186314,0.65830973143535
HCC_10020116_20180118,3,liver,0.7304400928225928,0.5753490549702813
HCC_10020116_20180118,4,liver,0.6507677528553237,0.4823244880432032
HCC_10020116_20180118,5,liver,0.09884166929710567,0.05199023547954965
HCC_10074592_20130816,1,liver,0.8803545458931744,0.7862797483472088
HCC_10074592_20130816,2,liver,0.8472633329498536,0.7350016332160639
HCC_10074592_20130816,3,liver,0.8384058938152598,0.7217718214575454
HCC_10074592_20130816,4,liver,0.8279430933879671,0.7064017870781445
HCC_10074592_20130816,5,liver,0.052953394523717334,0.027196778122731084
HCC_10076307_20130925,1,liver,0.8487529886903316,0.7372466380823252
HCC_10076307_20130925,2,liver,0.824282156250926,0.7010884121844636
HCC_10076307_20130925,3,liver,0.782982941882592,0.643362339632155
HCC_10076307_20130925,4,liver,0.7347813330358539,0.5807544199446774
HCC_10076307_20130925,5,liver,0.06557257421063131,0.03389766570534783
HCC_10081574_20140213,1,liver,0.8863210515523892,0.7958496950920134
HCC_10081574_20140213,2,liver,0.8602959501837164,0.754841531292652
HCC_10081574_20140213,3,liver,0.8481068926331187,0.7362722176295158
HCC_10081574_20140213,4,liver,0.8010253972830477,0.6680920475445752
HCC_10081574_20140213,5,liver,0.09864564972607266,0.05188178085368425
HCC_10136895_20170421,1,liver,0.8686439818117598,0.7677901278174551
HCC_10136895_20170421,2,liver,0.8370914287355005,0.7198256590587565
HCC_10136895_20170421,3,liver,0.8171032459048292,0.6907646361156055
HCC_10136895_20170421,4,liver,0.734373322768248,0.5802448194080354
HCC_10136895_20170421,5,liver,0.06893620487306251,0.03569856420438286
HCC_10140276_20170721,1,liver,0.8172903291595709,0.6910320844665734
HCC_10140276_20170721,2,liver,0.7908499171268145,0.6540543877296612
HCC_10140276_20170721,3,liver,0.7375309626515538,0.5841972680777066
HCC_10140276_20170721,4,liver,0.6167074068053163,0.4458257131133746
HCC_10140276_20170721,5,liver,0.07827083041739069,0.04072937625983579
HCC_10142924_20170911,1,liver,0.8527115796085246,0.7432408141255573
HCC_10142924_20170911,2,liver,0.8101498715934373,0.6808839636622637
HCC_10142924_20170911,3,liver,0.7820744893465361,0.6421365531025081
HCC_10142924_20170911,4,liver,0.7276969399902731,0.57195251891073
HCC_10142924_20170911,5,liver,0.1082419992647867,0.057217677537382154
HCC_10147777_20171222,1,liver,0.8456343936194426,0.732553351334614
HCC_10147777_20171222,2,liver,0.8228447451179587,0.6990112321254252
HCC_10147777_20171222,3,liver,0.8064296438466795,0.6756448329076564
HCC_10147777_20171222,4,liver,0.7856854254319788,0.6470196783329848
HCC_10147777_20171222,5,liver,0.1025097187528223,0.05402384389842013
HCC_PA0,1,liver,0.8927187214853057,0.806225788159991
HCC_PA0,2,liver,0.8875004857379221,0.7977535939209902
HCC_PA0,3,liver,0.8907078106775292,0.8029514849658852
HCC_PA0,4,liver,0.8976676128088263,0.814334789796168
HCC_PA0,5,liver,0.0705911164398369,0.03658691376479537
HEM_PA101,1,liver,0.7988371859816416,0.6650532106544634
HEM_PA101,2,liver,0.7638862417590161,0.6179740632011598
HEM_PA101,3,liver,0.7220400101182585,0.5649942219122973
HEM_PA101,4,liver,0.6608588154103539,0.49349450454911553
HEM_PA101,5,liver,0.10295166862797299,0.05426939679155676
HEM_PA107,1,liver,0.6245209738813077,0.45403889264936037
HEM_PA107,2,liver,0.6052370564611861,0.43393542914584116
HEM_PA107,3,liver,0.5606881241579356,0.38955290619689903
HEM_PA107,4,liver,0.503187335867016,0.3361725538035465
HEM_PA107,5,liver,0.1204077255667586,0.0640605556878465
HEM_PA13,1,liver,0.8814638686905129,0.7880513145861406
HEM_PA13,2,liver,0.8537911742798538,0.7448827431104967
HEM_PA13,3,liver,0.8260296544328399,0.7036205450605398
HEM_PA13,4,liver,0.7422536061629781,0.5901456842174907
HEM_PA13,5,liver,0.09000314941997391,0.04712214545938712
HEM_PA24,1,liver,0.9136924942624801,0.8410993106801546
HEM_PA24,2,liver,0.8737790487917302,0.7758504650924231
HEM_PA24,3,liver,0.8512913989335053,0.741085596593588
HEM_PA24,4,liver,0.777052473954946,0.635393144355065
HEM_PA24,5,liver,0.0715389748116371,0.03709640686395855
HEM_PA29,1,liver,0.5214451921713494,0.3526722103302718
HEM_PA29,2,liver,0.4991258847352677,0.3325567945098857
HEM_PA29,3,liver,0.47873629463240674,0.3146964546273456
HEM_PA29,4,liver,0.42334604626978534,0.26850917112675676
HEM_PA29,5,liver,0.15676955784373786,0.08505152381291915
HEM_PA34,1,liver,0.9349902482590242,0.877917077032026
HEM_PA34,2,liver,0.9124127086116354,0.8389328524121622
HEM_PA34,3,liver,0.8951989505903082,0.8102806845346963
HEM_PA34,4,liver,0.8349809479831508,0.7167101229269162
HEM_PA34,5,liver,0.08673702211341885,0.04533460539191425
HEM_PA56,1,liver,0.9671534886017698,0.936396142048716
HEM_PA56,2,liver,0.9579156334003791,0.9192304040853443
HEM_PA56,3,liver,0.9546597750187413,0.9132526924771006
HEM_PA56,4,liver,0.9195336355059234,0.8510525322428811
HEM_PA56,5,liver,0.06544626320091279,0.03383016039101809
HEM_PA66,1,liver,0.9626793732400996,0.9280441826815594
HEM_PA66,2,liver,0.9436956544763355,0.8933937065349472
HEM_PA66,3,liver,0.9324970680156431,0.8735311539447227
